review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
RQ28TSA020Y6J,5,24,31,N,N
R25D83AEJRXUWO,4,18,21,N,Y
R35OW0SJPJWAHO,1,12,162,N,Y
RAP2ETU511BOI,1,5,99,N,Y
R1S9O5CCTD61ZD,1,45,71,N,N
R1RMOCWMV8F4VH,1,5,21,N,Y
R351KVE3VO78W9,3,36,42,N,Y
RV44WHYSHUQQX,1,12,30,N,N
R1APPB00PA5PVL,5,7,22,N,N
R13I5SU4FN7TOW,2,21,24,N,N
R3V09N9AF5AKKN,4,78,80,N,Y
R36EASFSU7ZY94,4,23,27,N,Y
R3B9RBC8IPFZOE,5,20,22,N,Y
RX55A9D0R9UZO,5,37,41,N,Y
R3O34TLQED21S4,1,37,38,N,Y
R2ZM92CNK0ZBZU,5,40,44,N,Y
R1XHUR2UWP6BM5,5,38,49,N,N
R3QF8JDZZVA1OH,5,21,23,N,Y
R3LNOYID83CBEU,5,25,25,N,Y
R1Y68SRT4SEDP4,1,9,49,N,Y
R1KQNNHJ6DAUO0,1,36,44,N,Y
R1J3D5V8FB3ZZV,5,117,122,N,Y
R3B0ZFUVQD028C,4,21,22,N,Y
R5J980JUAZD73,3,47,53,N,Y
R6IIB70FUYH2V,5,88,95,N,Y
R6H97KBTDD3GY,5,31,39,N,N
R2AMCTJBLD74HW,1,32,34,N,Y
R193BUNVT8DA9Z,5,23,23,N,Y
R2SIHUXQI4ESCC,4,22,24,N,Y
RPJD15F508VEW,5,80,100,N,N
R2Y61ZOQRBNTI2,4,61,64,N,Y
R1QF7B9FXLOSDH,1,1,24,N,Y
R2WWRAKZWG6LYU,5,43,46,N,Y
R2SE3RH0AX6X0W,5,10,24,N,Y
R2R0JQ8L3JVQD,5,19,22,N,N
R1ACS8KFUU2FAR,1,4,26,N,Y
R5DM9OX5YAAH3,3,48,50,N,Y
R1NRU1S92MEHZX,1,43,53,N,Y
R2DHA0VPS935Q,1,8,33,N,Y
RXM0I2A40JVZ3,5,90,92,N,Y
R1T0R29SFHDXQV,3,20,24,N,N
R1LQUQYBV3SZYK,1,25,70,N,Y
R3TW9BBQCVDNFS,1,4,21,N,N
R2XZ8BZZF6BER0,1,0,21,N,Y
RV03YOP7N1NLD,5,19,82,N,N
R1U6YYAQK7OF5H,1,0,20,N,Y
R1223UTMWTW3XG,5,153,159,N,Y
RZFZ0WAAME2H6,5,37,41,N,Y
R2NZEJ3TXJ158H,1,1,28,N,N
R1H4TLE4W1N5QC,1,2,26,N,Y
RFVFIXJNXUFER,4,82,87,N,Y
R1J8CW489NWQLV,5,128,135,N,N
RUDO1QN1I3BA1,5,33,70,N,Y
R3NUAYGN07Q6WH,1,39,49,N,Y
R18GOU6ZAXAPF,5,33,35,N,Y
RZFAZF73O0BHY,5,61,65,N,N
R3GB4HH5WTDHM0,5,33,34,N,Y
R32ZQFR35WFFH6,2,23,26,N,Y
R3BJIDMSISG8RV,1,1,27,N,Y
R15PUIDPIRIR4S,5,46,56,Y,N
R11JY2R4MC7SA8,5,25,28,N,Y
R7216LDHSI13V,5,19,22,N,Y
R2DU1SRW4X26XG,5,20,22,N,Y
R2NUN6OAGWSHJB,1,2,40,N,N
RSDBE0NCFGZI5,1,117,146,N,Y
R1ST4886EDVPR3,5,28,37,N,N
RLAM8RIMA4H1V,1,109,131,N,Y
RPPPR53D4VJ30,5,21,22,N,Y
R11O29LPHTD08N,5,27,28,N,Y
R27FYJP2DR5F8V,5,37,40,N,Y
R2FD5LBIBMNBSS,5,117,122,N,Y
RNFGYFMCGNANR,1,0,21,N,N
ROM7NFD419G56,1,21,60,N,N
RW63SS86JFUZB,5,19,23,N,Y
R34CFAN6OYRDY4,4,34,39,N,Y
R28PTR3G2ECNEQ,4,34,34,N,Y
R37WQMC8F1PBTX,5,24,25,N,Y
R1BBIVGQ7Z83LS,5,62,69,N,N
R2TPJEYCGOJK5E,1,24,29,N,Y
R2ASCT97C71XXE,1,47,60,N,Y
R1G2WPBAR0ZEKX,2,80,95,N,Y
RCBTL10PVT49B,1,14,28,N,N
R304B2QMZ5NG7D,1,14,36,N,Y
R3R5JQ9BHXIBMR,5,62,66,N,N
R284D8RDTLAEEB,1,143,174,N,Y
R2PTGU3IS7E6BV,2,21,23,N,N
RN65KNGYZ7QL8,4,61,67,N,Y
R2E7953Q313WNO,1,7,22,N,Y
R1MI65M8B0OALN,5,48,51,N,Y
RPF97OKKJ2EFD,5,19,22,N,N
R3KB2RFSIPGJHD,4,23,23,N,N
R3POAQVY0WJG8U,2,21,23,N,N
R2K20MKSVBDGT8,1,24,29,N,Y
R2727XXYHF15MS,5,23,24,N,Y
R3S3OXREYOFJXX,2,16,22,N,Y
R1NMZJ0R82W6NY,5,24,24,N,Y
R1RRJ9W4IXG9AX,2,86,99,N,Y
R2L6Q3OIETV01D,5,35,37,N,Y
R2VDSXNYK0Y3PR,5,29,30,N,Y
R3OQVLW92AK907,3,21,21,N,Y
R36ZTI5M450VCZ,1,45,46,N,Y
R1KQIV8WPHXSKL,5,36,36,N,Y
R3E1MS1FHIAE0I,1,7,30,N,Y
R1K2H5QK23F2ML,1,76,92,N,Y
R2R8LL75H08ZWM,5,46,53,N,N
R270AVZY3AWKEQ,1,64,66,N,Y
RCS361BP3UG5T,5,60,62,N,Y
RSFQ3P9DRPOIL,3,29,32,N,Y
R3TUW2BMFWD7SW,5,23,23,N,Y
R1U4H870N8E13M,4,21,26,N,N
R3OQ3CE0XFF5J3,4,19,22,N,N
REB9ONZQ3S4O2,5,30,30,N,Y
R2O9Z1RFGG18L7,3,31,41,N,Y
R1IXBQWYGOXUR9,3,128,147,Y,N
RV1WKXDH75HHB,5,30,31,N,Y
RKH0WXXTCUTFY,4,465,486,N,N
R1UC523ESDTRNB,4,21,23,N,Y
R3FG8CLKNP0FB3,5,20,21,N,N
RJC0892BWGPG9,4,74,80,N,Y
R3KS9PF5RR07ZX,1,27,40,N,Y
R3CG75QAGPT83D,3,31,36,N,Y
R7A9JJT2X93SC,4,20,20,N,Y
R273NANSOK3V1V,5,32,33,N,N
REKEF9EU4DVHE,3,3,21,N,Y
R33XKY83Q62HB6,5,167,173,N,N
R3MPGITYOODVF,1,16,23,N,N
RMRE6OZMDB0TP,1,3,32,N,Y
RESQ8594XJBXK,5,66,67,N,Y
R2GMCOP7PG9H58,1,20,28,N,Y
R2BKKGZSSJG5I2,5,21,24,N,Y
R17OMNCNHH13GH,2,39,41,N,Y
R1LTTPWU5GEBO2,1,19,22,N,Y
RMFG2EK2I1FU8,1,4,26,N,N
R1B6F2135VBF7E,4,20,20,N,Y
R2YPPNW4DRD6E7,5,26,26,N,N
RZKJVHTS52PY2,1,2,37,N,Y
R175A6AIFRASA0,5,70,74,N,N
RUHC1A6W78JBA,4,21,22,N,Y
R3LJQK8CCCWYVB,3,20,23,N,N
R3UKXA9E4Y962Q,2,10,25,N,Y
R28VVOOR0B9BN0,1,41,65,N,Y
R3QS3PBB99NRAS,5,32,34,N,Y
R1S6A9MEYP66BH,1,18,59,N,Y
R103PFLQ1WKUCD,5,39,43,N,Y
RJ4T9MI9TMR3K,4,22,24,N,Y
R3HPDQLAKGY85A,5,13,23,N,N
R3KMYTMWBRJOLB,1,21,26,N,Y
RHE7DQ5W7JDQ9,4,452,476,N,Y
R2WCVT7SR35PZS,1,36,38,N,Y
R3J0S9470MX0LW,1,4,26,N,Y
R3E82OTYK72LGC,5,38,42,N,Y
R1G1CMPO3OPBP9,5,36,40,N,Y
R1PUC2LEYBS66J,3,32,37,N,Y
R3K1U7YPJ5ZHOF,1,123,125,N,Y
RX5OEA4P4HHY7,1,22,32,N,Y
RLRD1KLKARQ0Q,4,21,23,N,Y
R34N8V8GO2MR0E,5,81,94,N,Y
RVVUGFNSHDI7U,5,45,51,N,Y
RD64ZILGOULMT,5,25,25,N,Y
R223TON040IKXQ,1,32,34,N,Y
R14GC6FMURKVBO,1,17,21,N,Y
R10DAXKQ5SL7A7,3,20,27,N,Y
RW3QQ4EO95MNF,3,19,23,N,Y
R135YFAH4HJ815,4,21,21,N,Y
R17H0JN4NQE9XY,1,2,32,N,Y
R2YBCMU1BBTUT1,5,20,21,N,Y
